id,organizacao_id,categoria,ano,quantidade,valor_unitario,valor_total,created_at,updated_at,tipo
2052328d-05c9-49c9-9fc9-419d7b47377a,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2024,1,9000000.00,9000000.00,2025-05-26 10:21:07.749234+00,2025-05-26 10:21:07.749234+00,REALIZADO
2462866e-4f27-4457-9b38-570f1671eabe,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2021,1,9000000.00,9000000.00,2025-05-26 10:17:03.788254+00,2025-05-26 10:17:03.788254+00,REALIZADO
2785b564-f2ee-4611-b267-45fbd8824993,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2029,1,12000000.00,12000000.00,2025-05-26 10:22:46.998755+00,2025-05-26 10:22:46.998755+00,PLANEJADO
2e1f8b35-63bc-464a-a24b-060a06dca6b8,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2024,1,2200000.00,2200000.00,2025-05-26 10:24:20.487574+00,2025-05-26 10:24:20.487574+00,REALIZADO
34152826-ebc8-4f23-97ef-8813d4c00466,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2022,1,16000000.00,16000000.00,2025-05-26 10:17:33.294344+00,2025-05-26 10:17:33.294344+00,REALIZADO
4faa8e55-68b0-4bce-b2d4-75500678f436,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2025,1,2000000.00,2000000.00,2025-05-26 10:18:45.358046+00,2025-05-26 10:18:45.358046+00,REALIZADO
6c1948b0-6b4c-47f9-a7e1-4a6a5e4a041e,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2028,1,12000000.00,12000000.00,2025-05-26 10:22:23.321951+00,2025-05-26 10:22:23.321951+00,PLANEJADO
7466d4f1-1cdc-4e12-8afc-82274a790461,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2026,1,6000000.00,6000000.00,2025-05-26 10:21:40.875628+00,2025-05-26 10:21:40.875628+00,PLANEJADO
7977967b-d2e8-4394-ba48-a5b11ae38e57,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2027,1,12000000.00,12000000.00,2025-05-26 10:22:02.270572+00,2025-05-26 10:22:02.270572+00,PLANEJADO
874eb83a-640a-403f-a5fb-a2d9d4f4991d,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2027,1,2000000.00,2000000.00,2025-05-26 10:19:15.398743+00,2025-05-26 10:19:15.398743+00,PLANEJADO
97a738eb-32e1-47c3-904d-8bf8958791d6,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2021,1,32000000.00,32000000.00,2025-05-26 10:23:25.809489+00,2025-05-26 10:23:25.809489+00,REALIZADO
9bd32b44-1a7a-47ee-a188-98a35ab68f47,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2022,1,48376000.00,48376000.00,2025-05-26 10:20:06.247167+00,2025-05-26 10:20:06.247167+00,REALIZADO
a00a8547-be3a-4224-94aa-a253f339a888,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2022,1,26000000.00,26000000.00,2025-05-26 10:23:43.224437+00,2025-05-26 10:23:43.224437+00,REALIZADO
a543683f-0b2b-4d33-a094-61dba8cba8f6,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2028,1,5000000.00,5000000.00,2025-05-26 10:24:55.273838+00,2025-05-26 10:24:55.273838+00,PLANEJADO
aa76ccb2-364e-456b-8229-b3832339a17c,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2027,1,5000000.00,5000000.00,2025-05-26 10:24:39.492445+00,2025-05-26 10:24:39.492445+00,PLANEJADO
ab5c2e49-4c76-49d5-8233-adc34cd4f7f5,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2023,1,21207000.00,21207000.00,2025-05-26 10:20:38.685859+00,2025-05-26 10:20:38.685859+00,REALIZADO
c3deeaf2-8b31-42f4-8c01-3937f7badcff,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2021,1,11800000.00,11800000.00,2025-05-26 10:19:47.676396+00,2025-05-26 10:19:47.676396+00,REALIZADO
d8d3fa9b-794c-43c2-9e0e-ed8419195ca2,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2025,1,6000000.00,6000000.00,2025-05-26 10:21:29.527285+00,2025-05-26 10:21:29.527285+00,REALIZADO
e6de7214-675c-4a34-aa53-4852a3879301,131db844-18ab-4164-8d79-2c8eed2b12f1,BENFEITORIA,2023,1,15000000.00,15000000.00,2025-05-26 10:24:02.889951+00,2025-05-26 10:24:02.889951+00,REALIZADO
ecf6e8a1-b848-46d7-9aaa-9bed202fd6cd,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2026,1,2000000.00,2000000.00,2025-05-26 10:19:00.184357+00,2025-05-26 10:19:00.184357+00,PLANEJADO
f44ddef5-e040-4678-b188-531e1a9d71c7,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2024,1,1200000.00,1200000.00,2025-05-26 10:18:19.437107+00,2025-05-26 10:18:19.437107+00,REALIZADO
fd997753-5e75-4388-9abe-b88346be2b0f,131db844-18ab-4164-8d79-2c8eed2b12f1,INVESTIMENTO_SOLO,2023,1,12000000.00,12000000.00,2025-05-26 10:17:52.95956+00,2025-05-26 10:17:52.95956+00,REALIZADO
fffd83d0-0fb8-4981-a610-3b1b5251f7d9,131db844-18ab-4164-8d79-2c8eed2b12f1,EQUIPAMENTO,2030,1,12000000.00,12000000.00,2025-05-26 10:23:00.523328+00,2025-05-26 10:23:00.523328+00,PLANEJADO